project_id,project_name,address,neighborhood,status,units_total,permit_count,valuation_total,first_date_received,last_date_issued,last_final_date,developer,permit_case_id,source_url,last_updated
2021-LOG-0007937,5890 N BISCAY 2110 UNIT,5890 N BISCAY 2110 UNIT,DIA,Under Construction,58,58,18464458.0,2021-09-01,2023-01-27,,DHI COMMUNITIES CONSTRUCTION OF COLORADO LLC,2021-LOG-0007937,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0001533,4665 N Beeler CT 101 UNIT,4665 N Beeler CT 101 UNIT,Central Park,Under Construction,37,37,9505892.0,2025-03-24,2025-09-03,,BROOKFIELD (COLORADO) MANAGEMENT LLC,2025-LOG-0001533,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2024-LOG-0004112,1575 N Lowell Blvd 101 Unit,1575 N Lowell Blvd 101 Unit,West Colfax,Under Construction,32,32,6270000.0,2025-02-05,2025-10-07,,HASELDEN CONSTRUCTION LLC,2024-LOG-0004112,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0012077,4646 N TENNYSON ST 22 UNIT,4646 N TENNYSON ST 22 UNIT,Berkeley,Under Construction,29,29,5303500.0,2021-10-20,2023-07-21,,FIVE J CONSTRUCTION LLC,2021-LOG-0012077,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0001521,2140 S ASH ST 101,2140 S ASH ST 101,University Hills,Under Construction,25,5,1098300.0,2023-05-23,2024-01-19,,REDT CONSTRUCTION LLC,2023-LOG-0001521,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0013659,3829 N NEWPORT ST,3829 N NEWPORT ST,Northeast Park Hill,Under Construction,23,23,4346245.0,2021-11-22,2022-07-20,,MOSELEY CONSTRUCTION,2021-LOG-0013659,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0009488,2650 S DELAWARE ST,2650 S DELAWARE ST,Overland,Under Construction,19,19,6078960.0,2022-09-15,2024-01-26,,REDT CONSTRUCTION LLC,2022-LOG-0009488,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0006478,1625 N Marion ST 110,1625 N Marion ST 110,City Park West,Under Construction,18,18,5347400.0,2023-09-28,2025-04-15,,"DENVER CONSTRUCTION MANAGEMENT, LLC",2023-LOG-0006478,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0001219,1642 N LAFAYETTE ST 4 UNIT,1642 N LAFAYETTE ST 4 UNIT,City Park West,Under Construction,15,15,3340492.0,2023-04-10,2024-01-18,,REDT CONSTRUCTION LLC,2023-LOG-0001219,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0004743,2832 W 44th AVE 306 BLDG,2832 W 44th AVE 306 BLDG,Sunnyside,Under Construction,15,15,2895000.0,2023-07-05,2025-07-10,,REDT CONSTRUCTION LLC,2023-LOG-0004743,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
