project_id,project_name,address,neighborhood,status,units_total,permit_count,valuation_total,first_date_received,last_date_issued,last_final_date,longitude,latitude,developer,permit_case_id,source_url,source_type,notes,last_updated
2021-LOG-0007937,5890 N BISCAY 2110 UNIT,5890 N BISCAY 2110 UNIT,DIA,Under Construction,58,58,18464458.0,2021-09-01,2023-01-27,,-104.766206,39.803374,DHI COMMUNITIES CONSTRUCTION OF COLORADO LLC,2021-LOG-0007937,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2025-LOG-0001533,4665 N Beeler CT 101 UNIT,4665 N Beeler CT 101 UNIT,Central Park,Under Construction,37,37,9505892.0,2025-03-24,2025-09-03,,-104.881384,39.781903,BROOKFIELD (COLORADO) MANAGEMENT LLC,2025-LOG-0001533,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2024-LOG-0004112,1575 N Lowell Blvd 101 Unit,1575 N Lowell Blvd 101 Unit,West Colfax,Under Construction,32,32,6270000.0,2025-02-05,2025-10-07,,-105.034931,39.742234,HASELDEN CONSTRUCTION LLC,2024-LOG-0004112,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0012077,4646 N TENNYSON ST 22 UNIT,4646 N TENNYSON ST 22 UNIT,Berkeley,Under Construction,29,29,5303500.0,2021-10-20,2023-07-21,,-105.043197,39.780795,FIVE J CONSTRUCTION LLC,2021-LOG-0012077,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0001521,2140 S ASH ST 101,2140 S ASH ST 101,University Hills,Under Construction,25,5,1098300.0,2023-05-23,2024-01-19,,-104.938152,39.677561,REDT CONSTRUCTION LLC,2023-LOG-0001521,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0013659,3829 N NEWPORT ST,3829 N NEWPORT ST,Northeast Park Hill,Under Construction,23,23,4346245.0,2021-11-22,2022-07-20,,-104.910114,39.76966,MOSELEY CONSTRUCTION,2021-LOG-0013659,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0009488,2650 S DELAWARE ST,2650 S DELAWARE ST,Overland,Under Construction,19,19,6078960.0,2022-09-15,2024-01-26,,-104.992043,39.668658,REDT CONSTRUCTION LLC,2022-LOG-0009488,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0006478,1625 N Marion ST 110,1625 N Marion ST 110,City Park West,Under Construction,18,18,5347400.0,2023-09-28,2025-04-15,,-104.972492,39.742266,"DENVER CONSTRUCTION MANAGEMENT, LLC",2023-LOG-0006478,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0001219,1642 N LAFAYETTE ST 4 UNIT,1642 N LAFAYETTE ST 4 UNIT,City Park West,Under Construction,15,15,3340492.0,2023-04-10,2024-01-18,,-104.970571,39.742498,REDT CONSTRUCTION LLC,2023-LOG-0001219,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0004743,2832 W 44th AVE 306 BLDG,2832 W 44th AVE 306 BLDG,Sunnyside,Under Construction,15,15,2895000.0,2023-07-05,2025-07-10,,-105.022849,39.776506,REDT CONSTRUCTION LLC,2023-LOG-0004743,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0007936,1230 N Zenobia Unit 3,1230 N Zenobia Unit 3,West Colfax,Under Construction,14,15,2634000.0,2022-07-21,2025-03-12,,-105.051859,39.735799,TITAN INDUSTRIES CONSTRUCTION CO. LLC,2022-LOG-0007936,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2018-LOG-0002017,2650 S FEDERAL BLVD 6 UNIT,2650 S FEDERAL BLVD 6 UNIT,College View - South Platte,Under Construction,14,14,1693950.0,2018-06-05,2019-09-10,,-105.024449,39.66951,UNREALCONSTRUCTION LLC,2018-LOG-0002017,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0009121,2330 N Eliot St 6 Unit,2330 N Eliot St 6 Unit,Jefferson Park,Under Construction,14,14,2264305.0,2023-01-03,2024-03-13,,-105.023246,39.751801,RYAN HOMES INC,2022-LOG-0009121,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0001549,4375 ZENOBIA,4375 ZENOBIA,Berkeley,Under Construction,14,14,1752700.0,2022-03-23,2023-02-22,,-105.052361,39.776301,MOSELEY CONSTRUCTION,2022-LOG-0001549,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0001590,1395 N Jersey 1395,1395 N Jersey 1395,Montclair,Under Construction,14,14,1849486.0,2023-04-06,2025-07-25,,-104.817691,39.756021,5280 CONSTRUCTION & DEVELOPMENT LLC,2023-LOG-0001590,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0004778,4829 W 10th Ave,4829 W 10th Ave,Villa Park,Under Construction,13,14,3483500.0,2024-01-17,2025-01-08,,-104.970233,39.743257,GRAMERCY BUILDERS LLC,2023-LOG-0004778,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0011008,2493 S Broadway 10 Unit,2493 S Broadway 10 Unit,Overland,Under Construction,13,13,2097000.0,2023-12-07,2025-11-25,,-104.987953,39.67148,TITAN INDUSTRIES CONSTRUCTION CO. LLC,2023-LOG-0011008,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0003825,822 N Dahlia St Garage,822 N Dahlia St Garage,Hale,Under Construction,12,19,6258000.0,2023-05-17,2025-01-15,,-104.93147,39.729617,"HOMEBOUND TECHNOLOGIES, INC.",2023-LOG-0003825,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0009885,4890 N ZUNI ST,4890 N ZUNI ST,Chaffee Park,Under Construction,12,12,1644000.0,2021-11-22,2022-02-17,,-105.01555,39.785359,RENOVAR INC,2021-LOG-0009885,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0012240,4100 E Warren Ave 6 Unit,4100 E Warren Ave 6 Unit,University Hills,Under Construction,12,12,1476000.0,2022-10-31,2024-07-25,,-104.939292,39.676435,XYZ CONSTRUCTION LLC,2022-LOG-0012240,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0001302,4597 N TEJON,4597 N TEJON,Sunnyside,Under Construction,11,11,1564600.0,2021-04-15,2021-12-17,,-105.011395,39.779967,SCHNEIDER BUILDING COMPANY LLC,2021-LOG-0001302,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0012172,6967 E LOWRY BLVD,6967 E LOWRY BLVD,Lowry Field,Under Construction,11,11,2031870.0,2021-11-09,2022-08-02,,-104.907149,39.716796,CR MACDONALD COMPANY LLC,2021-LOG-0012172,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0009484,2640 S DELAWARE 3,2640 S DELAWARE 3,Overland,Under Construction,11,11,3446820.0,2022-12-08,2023-05-04,,-104.992033,39.668999,"DENVER CONSTRUCTION MANAGEMENT, LLC",2022-LOG-0009484,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0010046,805 N Glencoe St,805 N Glencoe St,Hale,Under Construction,10,12,1712676.0,2024-04-16,2025-08-20,,-104.926064,39.729482,EJC CONSTRUCTION CO,2023-LOG-0010046,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0004448,2015 W 48th,2015 W 48th,Chaffee Park,Under Construction,10,11,1474877.0,2022-05-12,2024-05-01,,-105.011453,39.784014,UNREALCONSTRUCTION LLC,2022-LOG-0004448,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0011587,1772 N WILLIAMS,1772 N WILLIAMS,City Park West,Under Construction,10,10,3415980.0,2022-01-26,2022-03-21,,-104.965681,39.7445,CORNERSTONE BUILDERS LLC,2021-LOG-0011587,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0017503,2176 S Bellaire St,2176 S Bellaire St,University Hills,Under Construction,10,10,1500000.0,2024-01-05,2024-08-22,,-104.937086,39.67727,REED DESIGN BUILDERS LLC,2022-LOG-0017503,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0014368,3320 N Clayton St,3320 N Clayton St,Clayton,Under Construction,10,10,2159819.0,2021-12-14,2025-01-24,,-104.954691,39.763819,CATENA CONSTRUCTION LLC,2021-LOG-0014368,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0016440,2910 W PARKSIDE PL,2910 W PARKSIDE PL,Chaffee Park,Under Construction,10,10,3225440.0,2023-03-11,2023-11-21,,-105.024279,39.791639,BRISTLECONE CONSTRUCTION LLC,2022-LOG-0016440,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0005907,3033 N SPEER BLVD 3 UNIT,3033 N SPEER BLVD 3 UNIT,West Highland,Under Construction,9,9,2124550.0,2021-06-21,2021-11-09,,-105.026547,39.760658,MOSELEY CONSTRUCTION,2021-LOG-0005907,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0005086,220 N Acoma ST 201,220 N Acoma ST 201,Baker,Under Construction,9,9,4730750.0,2023-12-05,2025-06-02,,-104.988748,39.719869,"DENVER CONSTRUCTION MANAGEMENT, LLC",2023-LOG-0005086,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2025-LOG-0003400,4377 N Tejon St 301 Unit,4377 N Tejon St 301 Unit,Sunnyside,Under Construction,9,9,1829000.0,2025-04-21,2025-11-07,,-105.011473,39.776312,TITAN INDUSTRIES CONSTRUCTION CO. LLC,2025-LOG-0003400,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
